LineId,Label,Timestamp,Date,User,Time,Location,Component,PID,Content,EventId,EventTemplate
1,-,1131566461,9/11/2005,dn228,12:01:01,dn228/dn228,crond(pam_unix),2915,session closed for user root,E117,session closed for user root
2,-,1131566461,9/12/2005,dn228,12:01:01,dn228/dn228,crond(pam_unix),2915,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
3,-,1131566461,9/13/2005,dn228,12:01:01,dn228/dn228,crond,2916,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
4,-,1131566461,9/14/2005,dn261,12:01:01,dn261/dn261,crond(pam_unix),2907,session closed for user root,E117,session closed for user root
5,-,1131566461,9/15/2005,dn261,12:01:01,dn261/dn261,crond(pam_unix),2907,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
6,-,1131566461,9/16/2005,dn261,12:01:01,dn261/dn261,crond,2908,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
7,-,1131566461,9/17/2005,dn3,12:01:01,dn3/dn3,crond(pam_unix),2907,session closed for user root,E117,session closed for user root
8,-,1131566461,9/18/2005,dn3,12:01:01,dn3/dn3,crond(pam_unix),2907,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
9,-,1131566461,9/19/2005,dn3,12:01:01,dn3/dn3,crond,2908,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
10,-,1131566461,9/20/2005,dn596,12:01:01,dn596/dn596,crond(pam_unix),2727,session closed for user root,E117,session closed for user root
11,-,1131566461,9/21/2005,dn596,12:01:01,dn596/dn596,crond(pam_unix),2727,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
12,-,1131566461,9/22/2005,dn596,12:01:01,dn596/dn596,crond,2728,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
13,-,1131566461,9/23/2005,dn700,12:01:01,dn700/dn700,crond(pam_unix),2912,session closed for user root,E117,session closed for user root
14,-,1131566461,9/24/2005,dn700,12:01:01,dn700/dn700,crond(pam_unix),2912,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
15,-,1131566461,9/25/2005,dn700,12:01:01,dn700/dn700,crond,2913,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
16,-,1131566461,9/26/2005,dn73,12:01:01,dn73/dn73,crond(pam_unix),2917,session closed for user root,E117,session closed for user root
17,-,1131566461,9/27/2005,dn73,12:01:01,dn73/dn73,crond(pam_unix),2917,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
18,-,1131566461,9/28/2005,dn73,12:01:01,dn73/dn73,crond,2918,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
19,-,1131566461,9/29/2005,dn731,12:01:01,dn731/dn731,crond(pam_unix),2916,session closed for user root,E117,session closed for user root
20,-,1131566461,9/30/2005,dn731,12:01:01,dn731/dn731,crond(pam_unix),2916,session opened for user root by (uid=0),E118,session opened for user root by (uid=0)
21,-,1131566461,10/1/2005,dn731,12:01:01,dn731/dn731,crond,2917,(root) CMD (run-parts /etc/cron.hourly),E3,(root) CMD (run-parts /etc/cron.hourly)
